seed,scenario,day,hunger,thirst,fatigue,warmth,morale,health,radiationDose,lifetimeExposure,foodConsumed,waterConsumed,hungerCritical,thirstCritical,healthLossPerDay
42,Scarcity,1,39.20,23.80,19.60,100.00,70.00,100.00,29.00,34.00,0,3,False,False,0.00
42,Scarcity,2,38.40,22.60,29.20,100.00,70.00,100.00,53.00,58.00,2,6,False,False,0.00
42,Scarcity,3,57.60,21.40,38.80,100.00,70.00,100.00,77.00,82.00,2,9,False,False,0.00
42,Scarcity,4,56.80,20.20,48.40,100.00,70.00,100.00,100.00,106.00,4,12,False,False,0.00
42,Scarcity,5,76.00,19.00,58.00,100.00,70.00,100.00,100.00,130.00,4,15,False,False,0.00
42,Scarcity,6,75.20,17.80,67.60,100.00,64.00,97.60,100.00,154.00,6,18,False,False,2.40
42,Scarcity,7,94.40,16.60,77.20,100.00,58.00,95.20,100.00,178.00,6,21,True,False,4.80
