seed,day,hunger,thirst,fatigue,warmth,morale,health,radiationDose,lifetimeExposure,hungerCritical,thirstCritical,healthLossPerDay
42,1,39.20,53.80,9.60,73.00,70.00,100.00,29.00,34.00,False,False,0.00
42,2,58.40,82.60,19.20,61.00,70.00,100.00,53.00,58.00,False,False,0.00
42,3,77.60,100.00,28.80,49.00,46.00,85.60,77.00,82.00,False,True,14.40
42,4,96.80,100.00,38.40,37.00,22.00,61.60,100.00,106.00,True,True,38.40
42,5,100.00,100.00,48.00,25.00,0.00,37.60,100.00,130.00,True,True,62.40
42,6,100.00,100.00,57.60,13.00,0.00,6.40,100.00,154.00,True,True,93.60
42,7,100.00,100.00,67.20,1.00,0.00,0.00,100.00,178.00,True,True,100.00
